"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
43188,118,"KEN","Kenya",7,"Rift Valley",40,"Samburu",220,"Wamba","","","Tarafa|Taarafa","Division"
43189,118,"KEN","Kenya",7,"Rift Valley",40,"Samburu",221,"Waso","","","Tarafa|Taarafa","Division"
43190,118,"KEN","Kenya",7,"Rift Valley",41,"Trans-Nzoia",222,"Cherangani","","","Tarafa|Taarafa","Division"
43191,118,"KEN","Kenya",7,"Rift Valley",41,"Trans-Nzoia",223,"Kwanza","","","Tarafa|Taarafa","Division"
43192,118,"KEN","Kenya",7,"Rift Valley",41,"Trans-Nzoia",224,"Saboti","","","Tarafa|Taarafa","Division"
43193,118,"KEN","Kenya",7,"Rift Valley",42,"Turkana",225,"Central (Kalolkol)","","","Tarafa|Taarafa","Division"
43194,118,"KEN","Kenya",7,"Rift Valley",42,"Turkana",226,"Kakuma","","","Tarafa|Taarafa","Division"
43195,118,"KEN","Kenya",7,"Rift Valley",42,"Turkana",227,"Katilu","","","Tarafa|Taarafa","Division"
43196,118,"KEN","Kenya",7,"Rift Valley",42,"Turkana",228,"Kibish","","","Tarafa|Taarafa","Division"
43197,118,"KEN","Kenya",7,"Rift Valley",42,"Turkana",229,"Lokitaung","","","Tarafa|Taarafa","Division"
